Date,Total Tests,Daily Tests (ECLRS),New Positive Cases (TCHD),Total Positive Cases (TCHD),Released from Isolation (TCHD),Active Cases (TCHD),Active COVID-19 Hospitalizations (CHS),Total TC Resident Deaths (TCHD),Total Vaccinations 1st Dose,Total Vaccinations Completed,NYS Vaccine Tracker: Tompkins County 1st Dose,NYS Vaccine Tracker: Tompkins County Complete Series,Reported Positive Self-Tests,Total Positive Self-Tests
3/14/20,,,,1.0,,,,,,,,,,
3/15/20,46.0,,0.0,1.0,,,,,,,,,,
3/16/20,51.0,,1.0,2.0,,,,,,,,,,
3/17/20,107.0,,1.0,3.0,,,,,,,,,,
3/18/20,145.0,,3.0,6.0,,,,,,,,,,
3/19/20,279.0,,0.0,6.0,,,,,,,,,,
3/20/20,379.0,,5.0,11.0,,,,,,,,,,
3/21/20,449.0,,1.0,12.0,,,,,,,,,,
3/22/20,451.0,,3.0,15.0,,,,,,,,,,
3/23/20,592.0,,1.0,16.0,,,,,,,,,,
3/24/20,666.0,,,18.0,,,,,,,,,,
3/25/20,731.0,,5.0,23.0,,,,,,,,,,
3/26/20,1009.0,,9.0,32.0,,,,,,,,,,
3/27/20,1191.0,,16.0,48.0,,,,,,,,,,
3/28/20,1191.0,,8.0,56.0,,,2.0,,,,,,,
3/29/20,1197.0,,14.0,70.0,,,2.0,,,,,,,
3/30/20,1369.0,,3.0,73.0,,,1.0,,,,,,,
3/31/20,1419.0,,3.0,76.0,28.0,48.0,1.0,,,,,,,
4/1/20,1480.0,,4.0,80.0,33.0,47.0,1.0,,,,,,,
4/2/20,1553.0,,7.0,87.0,46.0,41.0,2.0,,,,,,,
4/3/20,1620.0,,6.0,93.0,51.0,42.0,2.0,,,,,,,
4/4/20,1626.0,,2.0,95.0,54.0,41.0,2.0,,,,,,,
4/5/20,1637.0,,3.0,98.0,57.0,41.0,1.0,,,,,,,
4/6/20,1988.0,,4.0,102.0,66.0,36.0,3.0,,,,,,,
4/7/20,2133.0,,1.0,103.0,69.0,34.0,3.0,,,,,,,
4/8/20,2246.0,,2.0,105.0,73.0,32.0,5.0,,,,,,,
4/9/20,2274.0,,2.0,107.0,76.0,31.0,5.0,,,,,,,
4/10/20,2290.0,,5.0,112.0,82.0,30.0,4.0,0.0,,,,,,
4/11/20,2403.0,,1.0,113.0,82.0,31.0,5.0,0.0,,,,,,
4/12/20,2408.0,,0.0,113.0,83.0,30.0,4.0,0.0,,,,,,
4/13/20,2419.0,,0.0,113.0,84.0,29.0,4.0,0.0,,,,,,
4/14/20,2506.0,,3.0,116.0,87.0,29.0,4.0,0.0,,,,,,
4/15/20,2546.0,,2.0,118.0,90.0,28.0,4.0,0.0,,,,,,
4/16/20,2606.0,,1.0,119.0,93.0,26.0,5.0,0.0,,,,,,
4/17/20,2785.0,,2.0,121.0,94.0,27.0,7.0,0.0,,,,,,
4/18/20,2808.0,,0.0,121.0,94.0,27.0,7.0,0.0,,,,,,
4/19/20,2820.0,,2.0,123.0,94.0,29.0,6.0,0.0,,,,,,
4/20/20,2897.0,,0.0,123.0,94.0,29.0,6.0,0.0,,,,,,
4/21/20,2947.0,,0.0,123.0,94.0,29.0,6.0,0.0,,,,,,
4/22/20,2996.0,,1.0,124.0,94.0,30.0,5.0,0.0,,,,,,
4/23/20,3056.0,,5.0,129.0,94.0,35.0,5.0,0.0,,,,,,
4/24/20,3095.0,,0.0,129.0,94.0,35.0,6.0,0.0,,,,,,
4/25/20,3104.0,,1.0,130.0,94.0,36.0,6.0,0.0,,,,,,
4/26/20,3104.0,,0.0,130.0,95.0,35.0,6.0,0.0,,,,,,
4/27/20,3212.0,,0.0,130.0,97.0,33.0,6.0,0.0,,,,,,
4/28/20,3299.0,,0.0,130.0,97.0,33.0,5.0,0.0,,,,,,
4/29/20,3391.0,,2.0,132.0,99.0,33.0,5.0,0.0,,,,,,
4/30/20,3578.0,,0.0,132.0,100.0,32.0,5.0,0.0,,,,,,
5/1/20,3578.0,,0.0,132.0,100.0,32.0,5.0,0.0,,,,,,
5/2/20,3755.0,,1.0,133.0,103.0,30.0,2.0,0.0,,,,,,
5/3/20,3767.0,,0.0,133.0,106.0,27.0,2.0,0.0,,,,,,
5/4/20,4016.0,,0.0,133.0,106.0,27.0,2.0,0.0,,,,,,
5/5/20,4468.0,,0.0,133.0,106.0,27.0,2.0,0.0,,,,,,
5/6/20,4510.0,,0.0,133.0,107.0,26.0,2.0,0.0,,,,,,
5/7/20,4587.0,,1.0,134.0,109.0,25.0,2.0,0.0,,,,,,
5/8/20,4702.0,,0.0,134.0,110.0,24.0,2.0,0.0,,,,,,
5/9/20,4712.0,,0.0,134.0,112.0,22.0,1.0,0.0,,,,,,
5/10/20,4723.0,,0.0,134.0,112.0,22.0,1.0,0.0,,,,,,
5/11/20,4834.0,,0.0,134.0,114.0,20.0,1.0,0.0,,,,,,
5/12/20,5022.0,,2.0,136.0,114.0,22.0,1.0,0.0,,,,,,
5/13/20,5265.0,,1.0,137.0,115.0,22.0,1.0,0.0,,,,,,
5/14/20,5694.0,,0.0,137.0,116.0,21.0,1.0,0.0,,,,,,
5/15/20,6316.0,,2.0,139.0,116.0,23.0,1.0,0.0,,,,,,
5/16/20,6355.0,,0.0,139.0,117.0,22.0,1.0,0.0,,,,,,
5/17/20,6378.0,,2.0,141.0,117.0,24.0,1.0,0.0,,,,,,
5/18/20,6624.0,,0.0,141.0,117.0,24.0,1.0,0.0,,,,,,
5/19/20,7047.0,,4.0,145.0,118.0,27.0,1.0,0.0,,,,,,
5/20/20,7047.0,,0.0,145.0,121.0,24.0,1.0,0.0,,,,,,
5/21/20,8221.0,,1.0,146.0,121.0,25.0,1.0,0.0,,,,,,
5/22/20,8221.0,,2.0,148.0,124.0,24.0,1.0,0.0,,,,,,
5/23/20,7850.0,,1.0,149.0,124.0,25.0,1.0,0.0,,,,,,
5/24/20,7863.0,,3.0,152.0,127.0,25.0,0.0,0.0,,,,,,
5/25/20,7875.0,,1.0,153.0,128.0,25.0,0.0,0.0,,,,,,
5/26/20,8313.0,,0.0,153.0,128.0,25.0,1.0,0.0,,,,,,
5/27/20,8535.0,,1.0,154.0,133.0,21.0,1.0,0.0,,,,,,
5/28/20,9071.0,,2.0,156.0,134.0,22.0,1.0,0.0,,,,,,
5/29/20,9288.0,,0.0,156.0,135.0,21.0,1.0,0.0,,,,,,
5/30/20,9288.0,,0.0,156.0,135.0,21.0,0.0,0.0,,,,,,
5/31/20,9749.0,,4.0,160.0,136.0,24.0,0.0,0.0,,,,,,
6/1/20,9773.0,,0.0,160.0,137.0,23.0,0.0,0.0,,,,,,
6/2/20,10050.0,,1.0,161.0,140.0,21.0,0.0,0.0,,,,,,
6/3/20,10271.0,,1.0,162.0,141.0,21.0,0.0,0.0,,,,,,
6/4/20,10649.0,,1.0,163.0,142.0,21.0,0.0,0.0,,,,,,
6/5/20,10960.0,,0.0,163.0,144.0,19.0,0.0,0.0,,,,,,
6/6/20,11385.0,,1.0,164.0,144.0,20.0,0.0,0.0,,,,,,
6/7/20,11506.0,,1.0,165.0,144.0,21.0,0.0,0.0,,,,,,
6/8/20,11542.0,,0.0,165.0,145.0,20.0,0.0,0.0,,,,,,
6/9/20,11768.0,,0.0,165.0,148.0,17.0,0.0,0.0,,,,,,
6/10/20,12105.0,,0.0,165.0,150.0,15.0,0.0,0.0,,,,,,
6/11/20,12322.0,,0.0,165.0,154.0,11.0,0.0,0.0,,,,,,
6/12/20,12508.0,,0.0,165.0,155.0,10.0,0.0,0.0,,,,,,
6/13/20,12724.0,,1.0,166.0,155.0,11.0,0.0,0.0,,,,,,
6/14/20,12818.0,,0.0,166.0,155.0,11.0,0.0,0.0,,,,,,
6/15/20,12833.0,,0.0,166.0,156.0,10.0,0.0,0.0,,,,,,
6/16/20,13129.0,,0.0,166.0,156.0,10.0,0.0,0.0,,,,,,
6/17/20,13402.0,,0.0,166.0,158.0,8.0,0.0,0.0,,,,,,
6/18/20,13428.0,,0.0,166.0,158.0,8.0,0.0,0.0,,,,,,
6/19/20,14289.0,,0.0,166.0,162.0,4.0,0.0,0.0,,,,,,
6/20/20,14561.0,,0.0,166.0,162.0,4.0,0.0,0.0,,,,,,
6/21/20,14650.0,,0.0,166.0,163.0,3.0,0.0,0.0,,,,,,
6/22/20,14658.0,,0.0,166.0,164.0,2.0,0.0,0.0,,,,,,
6/23/20,14996.0,,0.0,166.0,165.0,1.0,0.0,0.0,,,,,,
6/24/20,15222.0,,0.0,166.0,165.0,1.0,0.0,0.0,,,,,,
6/25/20,15430.0,,0.0,166.0,165.0,1.0,0.0,0.0,,,,,,
6/26/20,15647.0,,1.0,167.0,165.0,2.0,0.0,0.0,,,,,,
6/27/20,15843.0,,0.0,167.0,165.0,2.0,0.0,0.0,,,,,,
6/28/20,15883.0,,0.0,167.0,165.0,2.0,0.0,0.0,,,,,,
6/29/20,15889.0,,1.0,168.0,165.0,3.0,0.0,0.0,,,,,,
